One Month Total Visits,statenews.com
Date,Visits
1/7/13,"5,094"
1/8/13,"4,915"
1/9/13,"4,803"
1/10/13,"5,488"
1/11/13,"5,003"
1/12/13,"2,482"
1/13/13,"2,894"
1/14/13,"5,770"
1/15/13,"4,950"
1/16/13,"8,952"
1/17/13,"5,364"
1/18/13,"5,199"
1/19/13,"2,598"
1/20/13,"2,456"
1/21/13,"3,525"
1/22/13,"5,955"
1/23/13,"6,281"
1/24/13,"5,693"
1/25/13,"4,942"
1/26/13,"2,421"
1/27/13,"3,279"
1/28/13,"6,821"
1/29/13,"5,427"
1/30/13,"6,668"
1/31/13,"5,306"
2/1/13,"5,283"
2/2/13,"2,694"
2/3/13,"2,814"
2/4/13,"6,103"
2/5/13,"5,601"
2/6/13,"6,677"
Total:,"151,458"
